id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
1222,Republican,2,Not very strong Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,9,9,Man,25-34,Most of the time,8,9,Agree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
1223,Republican,1,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,5,Man,55-64,Most of the time,5,5,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1224,Democrat,1,Lean Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,9,7,Man,55-64,Most of the time,3,3,Neither disagree nor agree,Agree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
1225,Democrat,3,Strong Democrat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,7,5,Woman,55-64,Most of the time,7,7,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
1226,Democrat,1,Not very strong Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,5,0,Man,55-64,Most of the time,5,0,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
1227,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,5,Woman,55-64,Most of the time,1,0,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1228,Republican,1,Lean Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,10,10,Man,25-34,Some of the time,10,10,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,Agree somewhat
1229,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly,8,8,Woman,55-64,Most of the time,1,0,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
1230,Republican,3,Lean Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,8,8,Woman,25-34,Only now and then,8,8,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
1231,Democrat,2,Lean Democrat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,8,8,Man,18-24,Most of the time,6,5,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly
1232,Republican,2,Independent,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,6,6,Man,35-44,Most of the time,4,4,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat
1233,Democrat,2,Lean Democrat,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,6,5,Man,25-34,Most of the time,5,5,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
1234,Democrat,2,Strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Man,35-44,Some of the time,4,0,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1235,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,3,0,Man,25-34,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1236,Republican,2,Independent,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,9,9,Man,35-44,Only now and then,5,5,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
1237,Republican,3,Independent,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,8,5,Woman,25-34,Only now and then,6,5,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1238,Democrat,3,Not very strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly,9,10,Man,35-44,Some of the time,10,10,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
1239,Republican,3,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,10,9,Woman,25-34,Only now and then,9,9,,,,,,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
1240,Democrat,3,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,7,5,Man,25-34,Some of the time,8,6,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
1241,Democrat,2,Not very strong Republican,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,8,5,Man,25-34,Most of the time,6,3,Agree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1242,Republican,2,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,8,9,Woman,25-34,Most of the time,4,4,Disagree somewhat,Agree somewhat,Disagree strongly,Agree strongly,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
1243,Republican,1,Strong Republican,Neither disagree nor agree,Neither disagree nor agree,Agree strongly,Agree somewhat,6,4,Man,25-34,Most of the time,5,2,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
1244,Republican,1,Independent,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,6,5,Man,25-34,Most of the time,6,5,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat
1245,Republican,2,Not very strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,6,5,Man,25-34,Most of the time,3,1,Agree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat
1246,Republican,3,Not very strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,6,Woman,35-44,Most of the time,7,3,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
1247,Democrat,3,Lean Republican,Disagree strongly,Disagree somewhat,Agree somewhat,Neither disagree nor agree,8,7,Man,35-44,Only now and then,7,7,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
1248,Democrat,2,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,8,7,Man,55-64,Most of the time,7,7,Agree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
1249,Democrat,1,Independent,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,6,9,Man,25-34,Some of the time,9,10,Agree strongly,Agree somewhat,Agree strongly,Neither disagree nor agree,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly
1250,Democrat,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,9,9,Woman,25-34,Most of the time,6,5,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
1251,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,1,Woman,25-34,Some of the time,2,1,Disagree strongly,Agree strongly,Agree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1252,Democrat,3,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,6,5,Man,25-34,Most of the time,7,5,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1253,Republican,2,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,5,Woman,35-44,Some of the time,3,4,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1254,Republican,1,Lean Democrat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,8,7,Man,25-34,Some of the time,5,6,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat
1255,Republican,1,Strong Republican,Agree strongly,Agree strongly,Agree strongly,Agree strongly,9,8,Man,25-34,Most of the time,10,10,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly
1256,Republican,2,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,5,5,Man,18-24,Most of the time,5,5,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
1257,Democrat,2,Independent,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,6,3,Man,25-34,Some of the time,5,4,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly
1258,Democrat,2,Not very strong Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,2,Woman,35-44,Some of the time,1,0,Neither disagree nor agree,Agree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1259,Democrat,3,Independent,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,6,6,Other,18-24,Some of the time,7,7,,,,,,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly
1260,Republican,3,Independent,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,6,6,Man,35-44,Some of the time,5,5,,,,,,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat
1261,Democrat,3,Strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,8,7,Man,25-34,Some of the time,8,8,,,,,,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
1262,Republican,1,Independent,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,8,5,Woman,25-34,Most of the time,3,4,Neither disagree nor agree,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
1263,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,0,Woman,35-44,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1264,Democrat,1,Lean Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,8,8,Woman,35-44,Some of the time,8,8,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly
1265,Democrat,2,Strong Republican,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,6,5,Woman,35-44,Some of the time,6,2,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
1266,Democrat,2,Not very strong Republican,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat,3,2,Man,35-44,Some of the time,2,2,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat
1267,Republican,2,Independent,Disagree strongly,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,5,5,Man,45-54,Most of the time,3,3,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
1268,Democrat,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,9,Woman,25-34,Hardly at all,8,6,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1269,Republican,1,Independent,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,7,4,Woman,35-44,Some of the time,6,6,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree
1270,Democrat,2,Not very strong Republican,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,7,7,Woman,45-54,Some of the time,7,7,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
1271,Democrat,1,Not very strong Republican,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,8,8,Man,35-44,Most of the time,6,7,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat
1272,Democrat,1,Lean Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,9,8,Man,25-34,Hardly at all,7,7,Agree somewhat,Neither disagree nor agree,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1273,Democrat,3,Lean Republican,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,8,5,Man,35-44,Most of the time,7,5,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree strongly
1274,Republican,3,Not very strong Republican,Agree strongly,Agree somewhat,Agree strongly,Agree strongly,10,10,Man,25-34,Some of the time,10,10,,,,,,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly
1275,Democrat,1,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree strongly,8,9,Man,25-34,Some of the time,8,9,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat
1276,Republican,2,Strong Democrat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,7,4,Woman,25-34,Most of the time,0,0,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Agree somewhat
1277,Republican,1,Lean Democrat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,6,5,Man,55-64,Most of the time,5,4,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
1278,Democrat,1,Independent,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,7,7,Woman,25-34,Only now and then,6,6,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat
1279,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,8,Man,35-44,Only now and then,0,0,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1280,Republican,3,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,6,6,Woman,25-34,Some of the time,6,6,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1281,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Woman,18-24,Some of the time,4,4,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1282,Democrat,3,Not very strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,7,6,Man,35-44,Most of the time,8,8,,,,,,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat
1283,Republican,3,Strong Democrat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,3,Man,25-34,Some of the time,7,3,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
1284,Democrat,1,Strong Republican,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,4,2,Man,45-54,Most of the time,4,2,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
1285,Democrat,2,Lean Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,8,8,Man,25-34,Some of the time,7,8,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly
1286,Republican,3,Not very strong Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,6,4,Woman,25-34,Some of the time,5,4,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
1287,Democrat,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,8,8,Woman,55-64,Most of the time,5,5,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly
1288,Republican,2,Strong Republican,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,9,9,Man,25-34,Most of the time,9,10,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat
1289,Republican,3,Not very strong Democrat,Disagree somewhat,Agree somewhat,Agree strongly,Disagree strongly,7,2,Man,45-54,Some of the time,5,2,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
1290,Democrat,2,Not very strong Democrat,Agree somewhat,Agree strongly,Disagree strongly,Agree somewhat,9,10,Man,35-44,Most of the time,9,10,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly,Agree strongly
1291,Democrat,1,Independent,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,8,8,Man,35-44,Most of the time,6,7,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
1292,Democrat,1,Not very strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,7,5,Man,55-64,Some of the time,7,5,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
1293,Democrat,2,Strong Republican,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree strongly,10,10,Woman,25-34,Most of the time,5,8,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Agree strongly
1294,Democrat,1,Strong Democrat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,6,7,Woman,25-34,Some of the time,6,8,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly
1295,Republican,2,Independent,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,5,4,Woman,25-34,Some of the time,6,4,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree
1296,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,4,3,Woman,25-34,Only now and then,1,1,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1297,Democrat,2,Independent,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,10,10,Man,25-34,Most of the time,10,10,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat
1298,Democrat,3,Independent,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat,5,5,Woman,55-64,Most of the time,5,5,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
1299,Republican,2,Independent,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,7,7,Woman,35-44,Some of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1300,Republican,1,Strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly,3,1,Woman,45-54,Most of the time,3,1,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
1301,Republican,3,Strong Democrat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree strongly,0,0,Man,25-34,Most of the time,2,0,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly
1302,Republican,3,Not very strong Democrat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,7,5,Woman,25-34,Some of the time,8,5,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat
1303,Republican,3,Strong Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,3,0,Man,25-34,Most of the time,3,0,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree somewhat
1304,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,3,2,Woman,25-34,Most of the time,2,0,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1305,Republican,3,Lean Democrat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Disagree somewhat,5,6,Man,18-24,Only now and then,5,6,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
1306,Republican,3,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,35-44,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1307,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,2,0,Woman,45-54,Most of the time,2,0,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1308,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,10,Woman,18-24,Most of the time,1,9,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1309,Democrat,1,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,8,8,Man,25-34,Some of the time,5,4,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
1310,Republican,1,Strong Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree strongly,Disagree somewhat,7,1,Man,45-54,Most of the time,5,0,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat
1311,Democrat,2,Not very strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,9,9,Man,35-44,Some of the time,6,6,Neither disagree nor agree,Agree somewhat,Agree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
1312,Republican,2,Independent,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,7,5,Man,35-44,Most of the time,2,2,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly
1313,Republican,2,Not very strong Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,4,2,Woman,35-44,Most of the time,1,1,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
1314,Democrat,3,Lean Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,6,8,Man,25-34,Some of the time,8,9,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
1315,Republican,2,Independent,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,8,7,Man,35-44,Some of the time,10,9,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat
1316,Republican,3,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,1,0,Man,45-54,Most of the time,3,0,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Disagree somewhat
1317,Democrat,3,Lean Democrat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree strongly,7,5,Man,25-34,Some of the time,8,6,,,,,,Agree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree
1318,Democrat,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,9,Woman,35-44,Some of the time,6,7,Agree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
1319,Democrat,1,Lean Republican,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,5,0,Woman,45-54,Only now and then,5,0,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree
1320,Democrat,3,Lean Democrat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,9,8,Man,25-34,Most of the time,9,8,,,,,,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
1321,Republican,3,Strong Republican,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,7,7,Man,35-44,Some of the time,8,7,,,,,,Agree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat
